Year,Month,BlockCode,SpeciesName,SpeciesCode,TotalPrice,CatchLbs
1969,1,600,"Mackerel, jack",55, , 
1969,1,654,"Mackerel, jack",55, , 
1969,1,665,"Mackerel, jack",55, , 
1969,1,681,"Mackerel, jack",55, , 
1969,1,683,"Anchovy, northern             ",110, , 
1969,1,685,"Anchovy, northern             ",110, , 
1969,1,700,"Mackerel, jack",55, , 
1969,1,700,"Mackerel, Pacific",51, , 
1969,1,700,"Sardine, Pacific              ",100, , 
1969,1,701,"Mackerel, Pacific",51, , 
1969,1,702,"Anchovy, northern             ",110, , 
1969,1,703,"Anchovy, northern             ",110, , 
1969,1,704,"Anchovy, northern             ",110, , 
1969,1,705,"Anchovy, northern             ",110, , 
1969,1,719,"Anchovy, northern             ",110, , 
1969,1,719,"Mackerel, jack",55, , 
1969,1,719,"Mackerel, Pacific",51, , 
1969,1,719,"Sardine, Pacific              ",100, , 
1969,1,720,"Mackerel, jack",55, , 
1969,1,720,"Mackerel, Pacific",51, , 
1969,1,721,"Anchovy, northern             ",110, , 
1969,1,723,"Anchovy, northern             ",110, , 
1969,1,724,"Anchovy, northern             ",110, , 
1969,1,737,"Mackerel, jack",55, , 
1969,1,737,"Mackerel, Pacific",51, , 
1969,1,738,"Anchovy, northern             ",110, , 
1969,1,738,"Mackerel, jack",55, , 
1969,1,739,"Anchovy, northern             ",110, , 
1969,1,739,"Mackerel, jack",55, , 
1969,1,739,"Mackerel, Pacific",51, , 
1969,1,740,"Anchovy, northern             ",110, , 
1969,1,740,"Mackerel, jack",55, , 
1969,1,740,"Mackerel, Pacific",51, , 
1969,1,741,"Anchovy, northern             ",110, , 
1969,1,741,"Mackerel, jack",55, , 
1969,1,741,"Mackerel, Pacific",51, , 
1969,1,742,"Anchovy, northern             ",110, , 
1969,1,743,"Anchovy, northern             ",110, , 
1969,1,746,"Mackerel, jack",55, , 
1969,1,760,"Anchovy, northern             ",110, , 
1969,1,760,"Mackerel, jack",55, , 
1969,1,760,"Mackerel, Pacific",51, , 
1969,1,762,"Anchovy, northern             ",110, , 
1969,1,762,"Mackerel, jack",55, , 
1969,1,762,"Mackerel, Pacific",51, , 
1969,1,765,"Mackerel, jack",55, , 
1969,1,800,Yellowtail,40, , 
1969,1,807,"Mackerel, jack",55, , 
1969,1,807,"Mackerel, Pacific",51, , 
1969,1,813,"Mackerel, jack",55, , 
1969,1,849,"Mackerel, jack",55, , 
1969,1,849,"Mackerel, Pacific",51, , 
1969,1,850,"Mackerel, jack",55, , 
1969,1,850,"Mackerel, Pacific",51, , 
1969,1,860,Yellowtail,40, , 
1969,1,861,Yellowtail,40, , 
1969,1,867,"Mackerel, jack",55, , 
1969,1,867,"Mackerel, Pacific",51, , 
1969,10,488,"Anchovy, northern             ",110, , 
1969,10,500,"Anchovy, northern             ",110, , 
1969,10,507,"Anchovy, northern             ",110, , 
1969,10,508,"Anchovy, northern             ",110, , 
1969,10,509,"Anchovy, northern             ",110, , 
1969,10,516,"Anchovy, northern             ",110, , 
1969,10,517,"Anchovy, northern             ",110, , 
1969,10,526,"Anchovy, northern             ",110, , 
1969,10,526,"Mackerel, jack",55, , 
1969,10,654,"Anchovy, northern             ",110, , 
1969,10,654,"Mackerel, jack",55, , 
1969,10,657,"Mackerel, jack",55, , 
1969,10,665,"Anchovy, northern             ",110, , 
1969,10,666,"Anchovy, northern             ",110, , 
1969,10,667,"Anchovy, northern             ",110, , 
1969,10,668,"Anchovy, northern             ",110, , 
1969,10,668,"Mackerel, jack",55, , 
1969,10,683,"Anchovy, northern             ",110, , 
1969,10,684,"Anchovy, northern             ",110, , 
1969,10,684,"Mackerel, jack",55, , 
1969,10,686,"Anchovy, northern             ",110, , 
1969,10,686,"Mackerel, jack",55, , 
1969,10,700,"Anchovy, northern             ",110, , 
1969,10,700,"Mackerel, jack",55, , 
1969,10,700,"Mackerel, Pacific",51, , 
1969,10,700,"Sardine, Pacific              ",100, , 
1969,10,702,"Anchovy, northern             ",110, , 
1969,10,703,"Anchovy, northern             ",110, , 
1969,10,703,"Mackerel, jack",55, , 
1969,10,703,Yellowtail,40, , 
1969,10,704,"Anchovy, northern             ",110, , 
1969,10,705,"Anchovy, northern             ",110, , 
1969,10,706,"Anchovy, northern             ",110, , 
1969,10,707,"Anchovy, northern             ",110, , 
1969,10,718,"Anchovy, northern             ",110, , 
1969,10,718,"Mackerel, jack",55, , 
1969,10,719,"Anchovy, northern             ",110, , 
1969,10,719,"Mackerel, jack",55, , 
1969,10,719,"Mackerel, Pacific",51, , 
1969,10,719,"Sardine, Pacific              ",100, , 
1969,10,720,"Anchovy, northern             ",110, , 
1969,10,721,"Anchovy, northern             ",110, , 
1969,10,722,"Anchovy, northern             ",110, , 
1969,10,723,"Anchovy, northern             ",110, , 
1969,10,724,"Anchovy, northern             ",110, , 
1969,10,725,"Anchovy, northern             ",110, , 
1969,10,738,"Mackerel, jack",55, , 
1969,10,738,"Mackerel, Pacific",51, , 
1969,10,738,"Sardine, Pacific              ",100, , 
1969,10,739,"Mackerel, jack",55, , 
1969,10,739,"Mackerel, Pacific",51, , 
1969,10,739,"Sardine, Pacific              ",100, , 
1969,10,740,"Anchovy, northern             ",110, , 
1969,10,740,"Mackerel, jack",55, , 
1969,10,740,"Mackerel, Pacific",51, , 
1969,10,741,"Anchovy, northern             ",110, , 
1969,10,741,"Mackerel, jack",55, , 
1969,10,741,"Mackerel, Pacific",51, , 
1969,10,742,"Anchovy, northern             ",110, , 
1969,10,742,"Mackerel, jack",55, , 
1969,10,743,"Anchovy, northern             ",110, , 
1969,10,744,"Anchovy, northern             ",110, , 
1969,10,745,"Anchovy, northern             ",110, , 
1969,10,760,"Mackerel, jack",55, , 
1969,10,762,"Anchovy, northern             ",110, , 
1969,10,762,"Mackerel, jack",55, , 
1969,10,763,"Anchovy, northern             ",110, , 
1969,10,765,"Mackerel, jack",55, , 
1969,10,806,"Mackerel, jack",55, , 
1969,10,807,"Anchovy, northern             ",110, , 
1969,10,807,"Mackerel, jack",55, , 
1969,10,807,"Mackerel, Pacific",51, , 
1969,10,808,"Anchovy, northern             ",110, , 
1969,10,808,"Mackerel, jack",55, , 
1969,10,822,Yellowtail,40, , 
1969,10,829,"Mackerel, jack",55, , 
1969,10,829,"Mackerel, Pacific",51, , 
1969,10,830,"Mackerel, jack",55, , 
1969,10,849,"Mackerel, jack",55, , 
1969,10,850,"Mackerel, jack",55, , 
1969,10,860,Yellowtail,40, , 
1969,10,867,"Mackerel, jack",55, , 
1969,10,867,"Mackerel, Pacific",51, , 
1969,10,867,"Sardine, Pacific              ",100, , 
1969,10,889,"Mackerel, jack",55, , 
1969,10,897,"Mackerel, jack",55, , 
1969,11,488,"Anchovy, northern             ",110, , 
1969,11,516,"Anchovy, northern             ",110, , 
1969,11,518,"Anchovy, northern             ",110, , 
1969,11,653,"Mackerel, jack",55, , 
1969,11,656,"Mackerel, jack",55, , 
1969,11,666,"Anchovy, northern             ",110, , 
1969,11,680,"Anchovy, northern             ",110, , 
1969,11,682,"Anchovy, northern             ",110, , 
1969,11,683,"Anchovy, northern             ",110, , 
1969,11,684,"Mackerel, Pacific",51, , 
1969,11,700,"Anchovy, northern             ",110, , 
1969,11,700,"Mackerel, jack",55, , 
1969,11,700,"Mackerel, Pacific",51, , 
1969,11,700,"Sardine, Pacific              ",100, , 
1969,11,702,"Anchovy, northern             ",110, , 
1969,11,702,"Mackerel, jack",55, , 
1969,11,703,"Anchovy, northern             ",110, , 
1969,11,704,"Anchovy, northern             ",110, , 
1969,11,704,"Mackerel, jack",55, , 
1969,11,705,"Anchovy, northern             ",110, , 
1969,11,706,"Anchovy, northern             ",110, , 
1969,11,719,"Anchovy, northern             ",110, , 
1969,11,719,"Mackerel, jack",55, , 
1969,11,719,"Sardine, Pacific              ",100, , 
1969,11,720,"Anchovy, northern             ",110, , 
1969,11,720,"Mackerel, jack",55, , 
1969,11,720,"Mackerel, Pacific",51, , 
1969,11,721,"Anchovy, northern             ",110, , 
1969,11,721,"Mackerel, jack",55, , 
1969,11,722,"Anchovy, northern             ",110, , 
1969,11,723,"Anchovy, northern             ",110, , 
1969,11,724,"Anchovy, northern             ",110, , 
1969,11,739,"Sardine, Pacific              ",100, , 
1969,11,740,"Anchovy, northern             ",110, , 
1969,11,740,"Mackerel, jack",55, , 
1969,11,740,"Mackerel, Pacific",51, , 
1969,11,741,"Anchovy, northern             ",110, , 
1969,11,741,"Mackerel, jack",55, , 
1969,11,741,"Mackerel, Pacific",51, , 
1969,11,742,"Anchovy, northern             ",110, , 
1969,11,743,"Anchovy, northern             ",110, , 
1969,11,760,"Mackerel, jack",55, , 
1969,11,761,"Anchovy, northern             ",110, , 
1969,11,762,"Anchovy, northern             ",110, , 
1969,11,762,"Mackerel, jack",55, , 
1969,11,762,"Mackerel, Pacific",51, , 
1969,11,763,"Anchovy, northern             ",110, , 
1969,11,767,"Mackerel, jack",55, , 
1969,11,801,"Mackerel, Pacific",51, , 
1969,11,806,"Anchovy, northern             ",110, , 
