,Year,Cst_Cnt,Ocean degC,Salnty
0,1949,462.9848464,9.008097438,33.87527312
1,1950,1481.434568,8.670927643,33.88461575
2,1951,2938.570895,8.544260339,33.87409828
3,1952,4422.83922,9.408110352,33.75325269
4,1953,5845.616774,9.794918809,33.7964471
5,1954,6875.7163,9.76264098,33.77363957
6,1955,7645.020691,9.516349066,33.85450526
7,1956,8329.149738,9.246048424,33.84430372
8,1957,9043.949093,10.52003888,33.79866738
9,1958,9883.231321,10.69356306,33.76785345
10,1959,10954.35203,10.79959189,33.82208115
11,1960,12041.1699,10.23388624,33.83045435
12,1961,12699.00439,9.971765398,33.82668345
13,1962,13159.87724,9.892188106,33.8463105
14,1963,13576.7478,9.508600416,33.90215074
15,1964,13954.06963,9.69059764,33.90075
16,1965,14399.18648,10.10985891,33.81035419
17,1966,14881.49022,10.2602781,33.80235355
18,1967,15145.91787,10.53376979,33.77387686
19,1968,15472.58724,10.06690742,33.77635869
20,1969,16494.52683,10.61055516,33.6975168
21,1970,17378.4812,8.92273183,33.99774242
22,1971,17420.29252,8.688600683,33.79641739
23,1972,17995.40635,8.696516123,33.89858836
24,1973,19013.5,10.57815385,34.16304687
25,1974,19267.99083,9.676911091,33.88833619
26,1975,20016.63953,9.421625269,33.90783278
27,1976,20772.76651,9.338032871,33.98479676
28,1977,20873.40925,11.01776614,33.76132286
29,1978,21310.60493,10.52313359,33.65241441
30,1980,21817.77806,10.34556122,33.80397187
31,1981,22098.07159,10.62676802,33.80563522
32,1982,22333.48806,11.30668657,33.79809254
33,1983,22443.91896,11.38450181,33.79474619
34,1984,23254.27762,10.86067328,33.71948333
35,1985,24145.11183,11.14019366,33.75302444
36,1986,24497.63075,11.26253746,33.68522166
37,1987,25012.84875,11.34244113,33.65846585
38,1988,25642.49174,10.82101702,33.79371869
39,1989,26206.28311,10.37630439,33.78053003
40,1990,26518.95653,11.3216909,33.73108652
41,1991,26820.13686,11.23538045,33.66863343
42,1992,27134.52283,11.6580827,33.59439885
43,1993,27441.32523,11.44580815,33.59482756
44,1994,27715.75764,11.25927512,33.66659598
45,1995,27977.67295,11.43811517,33.68617629
46,1996,28250.95239,11.72510529,33.70381177
47,1997,28528.29618,11.54365921,33.69970331
48,1998,28867.19767,11.89530121,33.71670151
49,1999,29207.8128,10.86963821,33.77290676
50,2000,29469.51092,10.95531997,33.77784807
51,2001,29734.70187,10.94231892,33.76348741
52,2002,30000.27604,10.68146063,33.70612961
53,2003,30288.40441,10.80418188,33.63137493
54,2004,30579.29265,11.02309992,33.60303858
55,2005,30872.71858,11.10400967,33.64535369
56,2006,31168.77303,11.28536987,33.69233796
57,2007,31469.63654,10.77846001,33.78054514
58,2008,31770.50532,10.75551766,33.71940756
59,2009,32078.1793,10.78149904,33.69339302
60,2010,32400.89076,10.87023992,33.67628471
61,2011,32719.85866,10.63463242,33.69332401
62,2012,33021.41274,10.81318989,33.74914255
63,2013,33326.70442,10.65820747,33.75780339
64,2014,33618.75739,11.64427566,33.68985642
65,2015,33902.82409,11.77130733,33.62646399
66,2016,34235.39571,11.56988637,33.65456654
67,2017,34575.15086,11.34180923,33.67909695
68,2018,34886.50479,11.27417036,33.78226884
69,2019,35152.12935,11.54379148,33.78556763
