,Year,Cst_Cnt,Ocean degC,Salnty,Count
0,1951,2938.570895,8.544260339,33.87409828,216.51
1,1952,4422.83922,9.408110352,33.75325269,170.26
2,1954,6875.7163,9.76264098,33.77363957,2623.05
3,1955,7645.020691,9.516349066,33.85450526,186.4
4,1957,9043.949093,10.52003888,33.79866738,370.12
5,1958,9883.231321,10.69356306,33.76785345,395.72
6,1959,10954.35203,10.79959189,33.82208115,682.33
7,1960,12041.1699,10.23388624,33.83045435,74.68
8,1961,12699.00439,9.971765398,33.82668345,132.61
9,1962,13159.87724,9.892188106,33.8463105,144.81
10,1963,13576.7478,9.508600416,33.90215074,242.83
11,1964,13954.06963,9.69059764,33.90075,12.85
12,1965,14399.18648,10.10985891,33.81035419,23.04
13,1966,14881.49022,10.2602781,33.80235355,14.89
14,1969,16494.52683,10.61055516,33.6975168,6.52
15,1978,21310.60493,10.52313359,33.65241441,25.2
16,1981,22098.07159,10.62676802,33.80563522,47.54504587
17,1984,23254.27762,10.86067328,33.71948333,204.9481712
18,1985,24145.11183,11.14019366,33.75302444,2646.993737
19,1986,24497.63075,11.26253746,33.68522166,1043.941205
20,1987,25012.84875,11.34244113,33.65846585,1924.272631
21,1988,25642.49174,10.82101702,33.79371869,1705.720226
22,1989,26206.28311,10.37630439,33.78053003,6646.168619
23,1990,26518.95653,11.3216909,33.73108652,4540.967381
24,1991,26820.13686,11.23538045,33.66863343,5170.987844
25,1992,27134.52283,11.6580827,33.59439885,1326.931827
26,1993,27441.32523,11.44580815,33.59482756,3185.417966
27,1994,27715.75764,11.25927512,33.66659598,3483.101585
28,1995,27977.67295,11.43811517,33.68617629,2169.465047
29,1996,28250.95239,11.72510529,33.70381177,12179.43701
30,1997,28528.29618,11.54365921,33.69970331,22576.3194
31,1998,28867.19767,11.89530121,33.71670151,19575.29885
32,1999,29207.8128,10.86963821,33.77290676,29563.29787
33,2000,29469.51092,10.95531997,33.77784807,11080.38815
34,2001,29734.70187,10.94231892,33.76348741,13657.04804
35,2002,30000.27604,10.68146063,33.70612961,6993.872591
36,2003,30288.40441,10.80418188,33.63137493,11931.77727
37,2004,30579.29265,11.02309992,33.60303858,795.6942198
38,2005,30872.71858,11.10400967,33.64535369,16431.68761
39,2006,31168.77303,11.28536987,33.69233796,8024.770609
40,2007,31469.63654,10.77846001,33.78054514,9952.066839
41,2008,31770.50532,10.75551766,33.71940756,10476.36915
42,2009,32078.1793,10.78149904,33.69339302,6548.530947
43,2010,32400.89076,10.87023992,33.67628471,249.2527989
44,2011,32719.85866,10.63463242,33.69332401,17557.85289
45,2012,33021.41274,10.81318989,33.74914255,1918.74262
46,2013,33326.70442,10.65820747,33.75780339,2196.04882
47,2014,33618.75739,11.64427566,33.68985642,1541.554722
48,2015,33902.82409,11.77130733,33.62646399,633.6083333
49,2016,34235.39571,11.56988637,33.65456654,317.4548322
50,2017,34575.15086,11.34180923,33.67909695,1795.399472
51,2018,34886.50479,11.27417036,33.78226884,629.0841592
52,2019,35152.12935,11.54379148,33.78556763,128.4788235
