Year,Sardine Larvae lbs,CatchLbs,TotalPrice,PricePound,PricePoundAdj
1987,1924.272631,707585,42804,0.060493086,0.140343959
1988,1705.720226,461755,25979,0.056261437,0.125463005
1989,6646.168619,899724,79186,0.088011435,0.187464356
1990,4540.967381,3134151,83933,0.026780139,0.054095881
1991,5170.987844,14182046,743875,0.052451882,0.100707613
1992,1326.931827,20735063,792355,0.038213291,0.071458855
1993,3185.417966,30849762,1324463,0.042932681,0.077708153
1994,3483.101585,22326632,930658,0.041683761,0.07336342
1995,2169.465047,87510828,3213723,0.036723718,0.063164796
1996,12179.43701,70086201,2179471,0.031097006,0.051932
1997,22576.3194,94759414,3150974,0.033252358,0.053868821
1998,19575.29885,85479461,2858333,0.033438828,0.053502125
1999,29563.29787,128080138,4752098,0.037102537,0.058250982
2000,11080.38815,118056834,5454359,0.046201129,0.070687727
2001,13657.04804,114267247,6266257,0.05483861,0.080612757
2002,6993.872591,128035475,5798733,0.045290049,0.066123472
2003,11931.77727,75762548,2834216,0.037409196,0.053121058
2004,795.6942198,96768856,3903971,0.040343259,0.05607713
2005,16431.68761,75585847,3105267,0.041082651,0.055461579
2006,8024.770609,101189339,5043459,0.049841802,0.064794343
2007,9952.066839,178334197,8199208,0.045976645,0.058390339
2008,10476.36915,126156964,7484758,0.059328932,0.072381298
2009,6548.530947,81927250,5421130,0.066170047,0.080727458
2010,249.2527989,74010908,4296849,0.058056969,0.069087793
2011,17557.85289,60800471,5351767,0.088021802,0.102985508
2012,1918.74262,50531814,4288856,0.084874372,0.096756785
2013,2196.04882,13154107,1277218,0.097096519,0.108748101
2014,1541.554722,16705045,1954469,0.116998727,0.1286986
2015,633.6083333,3575961,323431,0.090445897,0.099490487
2016,317.4548322,367551,27070,0.073649643,0.080278111
2017,1795.399472,666988,39042,0.058534786,0.062046873
2018,629.0841592,542672,63906,0.117761742,0.122472212
2019,128.4788235,3595952,204270,0.056805541,0.057941652
