Year,Count
1951,216.51
1952,170.26
1954,2623.05
1955,186.4
1957,370.12
1958,395.72
1959,682.33
1960,74.68
1961,132.61
1962,144.81
1963,242.83
1964,12.85
1965,23.04
1966,14.89
1969,6.52
1978,25.2
1981,47.54504587
1984,204.9481712
1985,2646.993737
1986,1043.941205
1987,1924.272631
1988,1705.720226
1989,6646.168619
1990,4540.967381
1991,5170.987844
1992,1326.931827
1993,3185.417966
1994,3483.101585
1995,2169.465047
1996,12179.43701
1997,22576.3194
1998,19575.29885
1999,29563.29787
2000,11080.38815
2001,13657.04804
2002,6993.872591
2003,11931.77727
2004,795.6942198
2005,16431.68761
2006,8024.770609
2007,9952.066839
2008,10476.36915
2009,6548.530947
2010,249.2527989
2011,17557.85289
2012,1918.74262
2013,2196.04882
2014,1541.554722
2015,633.6083333
2016,317.4548322
2017,1795.399472
2018,629.0841592
2019,128.4788235
